Rectangle,Width,Height,X,Y
R,0.410651,0.985234,0,0
R,0.512459,0.980685,0.410651,0
R,0.0180024,0.977741,0.92311,0
R,0.392736,0.97772,0,0.985234
R,0.162199,0.973451,0.392736,0.985234
R,0.161798,0.960048,0.554935,0.985234
R,0.678832,0.954297,0,1.96295
R,0.115113,0.943766,0.678832,1.96295
R,0.793492,0.899929,0,2.91725
R,0.253546,0.880086,0,3.81718
R,0.0607281,0.841096,0.253546,3.81718
R,0.936457,0.825936,0,4.69727
R,0.332521,0.781845,0,5.5232
R,0.255467,0.779814,0.332521,5.5232
R,0.00866266,0.776658,0.587989,5.5232
R,0.517146,0.774951,0,6.30505
R,0.889661,0.773229,0,7.08
R,0.154986,0.772706,0,7.85323
R,0.334343,0.769492,0.154986,7.85323
R,0.695909,0.751272,0,8.62593
R,0.0921469,0.743574,0.695909,8.62593
R,0.122889,0.732445,0.788055,8.62593
R,0.301734,0.725777,0,9.3772
R,0.00948163,0.724544,0.301734,9.3772
R,0.609113,0.724209,0.311216,9.3772
R,0.534269,0.713398,0,10.103
R,0.830504,0.679252,0,10.8164
R,0.990988,0.676943,0,11.4956
R,0.335563,0.67648,0,12.1726
R,0.719507,0.669823,0,12.8491
R,0.37142,0.622522,0,13.5189
R,0.23226,0.620411,0.37142,13.5189
R,0.900818,0.604034,0,14.1414
R,0.444812,0.595675,0,14.7454
R,0.30161,0.58821,0.444812,14.7454
R,0.433678,0.586697,0,15.3411
R,0.920155,0.583619,0,15.9278
R,0.188883,0.579981,0,16.5114
R,0.858202,0.579794,0,17.0914
R,0.294319,0.579492,0,17.6712
R,0.22195,0.57861,0.294319,17.6712
R,0.666092,0.576641,0,18.2507
R,0.699675,0.560777,0,18.8273
R,0.682514,0.550028,0,19.3881
R,0.0507267,0.533969,0.682514,19.3881
R,0.508488,0.520141,0,19.9381
R,0.555208,0.505729,0,20.4583
R,0.0626848,0.488729,0.555208,20.4583
R,0.162458,0.485963,0.617893,20.4583
R,0.612978,0.481355,0,20.964
R,0.485811,0.481197,0,21.4454
R,0.826633,0.4513,0,21.9266
R,0.979879,0.446794,0,22.3779
R,0.00274422,0.444184,0.979879,22.3779
R,0.465882,0.443293,0,22.8247
R,0.338526,0.441289,0.465882,22.8247
R,0.293806,0.43396,0,23.2679
R,0.473405,0.433043,0.293806,23.2679
R,0.594898,0.419283,0,23.7019
R,0.93029,0.411566,0,24.1212
R,0.126034,0.410201,0,24.5328
R,0.87476,0.395648,0,24.943
R,0.510732,0.394649,0,25.3386
R,0.981163,0.35807,0,25.7333
R,0.333826,0.35796,0,26.0913
R,0.67609,0.353351,0,26.4493
R,0.142684,0.34483,0.67609,26.4493
R,0.0239458,0.334191,0.818773,26.4493
R,0.556969,0.324563,0,26.8026
R,0.24203,0.318991,0.556969,26.8026
R,0.307277,0.31811,0,27.1272
R,0.403649,0.304258,0.307277,27.1272
R,0.495551,0.301724,0,27.4453
R,0.161021,0.299781,0.495551,27.4453
R,0.491701,0.283095,0,27.747
R,0.487761,0.273908,0.491701,27.747
R,0.719282,0.263293,0,28.0301
R,0.881157,0.24891,0,28.2934
R,0.0628856,0.244297,0.881157,28.2934
R,0.411103,0.199479,0,28.5423
R,0.541267,0.188605,0.411103,28.5423
R,0.306661,0.170073,0,28.7418
R,0.929141,0.152971,0,28.9119
R,0.270114,0.129095,0,29.0649
R,0.40568,0.125419,0.270114,29.0649
R,0.198751,0.117738,0.675794,29.0649
R,0.0473791,0.114459,0.874545,29.0649
R,0.262801,0.0972341,0,29.1939
R,0.03879,0.0956527,0.262801,29.1939
R,0.460419,0.0936601,0.301591,29.1939
R,0.726674,0.0921666,0,29.2912
R,0.510911,0.0842104,0,29.3833
R,0.648675,0.081226,0,29.4676
R,0.0836154,0.0651808,0.648675,29.4676
R,0.733517,0.0524936,0,29.5488
R,0.0427463,0.0394228,0.733517,29.5488
R,0.0143722,0.0319861,0.776263,29.5488
R,0.614791,0.0223775,0,29.6013
R,0.922691,0.0154401,0,29.6237
R,0.62223,0.0081227,0,29.6391
